Items Report
"May 9, 2025 12:00 AM - Aug 8, 2025 11:59 PM"
"Requested on: Aug 8, 2025 9:30 AM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$289,728.26"
Net Sales,"$287,800.86"
COGS,$0.00
Gross Profit,"$186,882.30"
Gross Profit Margin,64.93%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Repayments,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Uncategorized
,," "," "," "," ",Kalua Pork,11,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Octopus On Side,8,$8.00," "," "," "," "," "," "," "
,," "," "," "," ",Fried Tofu On Side,2,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Extra Protein Ahi Tuna,144,$792.00," "," "," "," "," "," "," "
,," "," "," "," ",Extra Salmon Fresh Salmon,47,$258.50," "," "," "," "," "," "," "
,," "," "," "," ",Extra Protein Fried Fish,1,$5.50," "," "," "," "," "," "," "
,," "," "," "," ",Extra Protein Octopus,12,$78.00," "," "," "," "," "," "," "
,," "," "," "," ",Extra Protein Fried Tofu,2,$11.00," "," "," "," "," "," "," "
,," "," "," "," ",Extra Protein Hula Chicken,13,$71.50," "," "," "," "," "," "," "
,," "," "," "," ",Extra Protein Kalua Pork,2,$11.00," "," "," "," "," "," "," "
,," "," "," "," ",Extra Protein Octopus On Side,1,$6.50," "," "," "," "," "," "," "
,," "," "," "," ",Extra Protein Kalua Pork On Side,1,$4.00," "," "," "," "," "," "," "
,," "," "," "," ",GF Sauce,12,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Vegan Sauce,10,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Maui Sauce,93,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Shoyu Sauce,29,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Spicy Sauce,61,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Kimchee Sauce,7,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Teriyaki,2,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Spicy & Teriyaki,2,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Maui on Side,28,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Shoyu On Side,13,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Kimchee on Side,17,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Teriyaki on Side,15,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Surimi Salad,862,"$1,293.00"," "," "," "," "," "," "," "
,," "," "," "," ",Fresh Avocado,829,"$1,243.50"," "," "," "," "," "," "," "
,," "," "," "," ",Pickled Cucumbers,159,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Edamame,172,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Seaweed Salad,128,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Pickled Ginger,68,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Pineapple,50,$0.00," "," "," "," "," "," "," "
,," "," "," "," ",Mango,95,$0.00," "," "," "," "," "," "," "
